"CS","donor","PCoA_data_1","PCoA_data_2","BaseMedia"
"Fumarate",8,-0.0993591174423337,-0.0234618597280276,"BHI_10"
"Galactitol",1,0.0409771998229445,0.106440673026258,"BHI_10"
"Galactitol",2,-0.0393628079121319,-0.165690005742068,"BHI_10"
"Galactitol",3,0.111287211451276,-0.132760949071179,"BHI_10"
"Galactitol",4,-0.0965866655740295,-0.144988983606164,"BHI_10"
"Galactitol",5,-0.224974143449824,0.0902536257833491,"BHI_10"
"Galactitol",6,0.19489473287679,0.0991756008820435,"BHI_10"
"Galactitol",7,0.198512147115663,-0.031153239025345,"BHI_10"
"Galactitol",8,0.0635741659984216,-0.0734983622664359,"BHI_10"
"Galactose",1,-0.00482729837236151,0.207935028535797,"BHI_10"
"Galactose",2,-0.116540439853776,-0.148349734237655,"BHI_10"
"Galactose",3,0.10759758311423,-0.0411812879894549,"BHI_10"
"Galactose",4,-0.167788523717099,-0.103919876647194,"BHI_10"
"Galactose",5,-0.262424756671726,0.0732676608837713,"BHI_10"
"Galactose",6,0.167592222127692,0.0830732959452868,"BHI_10"
"Galactose",7,0.210562367682998,-0.0634645699203166,"BHI_10"
"Galactose",8,-0.0481356727721778,0.00240770560407932,"BHI_10"
"Glucose",1,-0.0207708233789987,0.211338510339664,"BHI_10"
"Glucose",2,-0.123658229374355,-0.152245898437722,"BHI_10"
"Glucose",3,0.0609288101075237,-0.00955039413292179,"BHI_10"
"Glucose",4,-0.154852361732925,-0.146607473401951,"BHI_10"
"Glucose",5,-0.219370418341587,0.123273327082232,"BHI_10"
"Glucose",6,0.122639561554663,0.173364528191913,"BHI_10"
"Glucose",7,0.166937879542015,-0.0356937432972907,"BHI_10"
"Glucose",8,-0.0861620792071361,0.0741354679773219,"BHI_10"
"Glycerol",1,0.0257569771838859,0.0844982100785577,"BHI_10"
"Glycerol",2,-0.126741472897817,-0.186700107794957,"BHI_10"
"Glycerol",3,0.14637297477209,-0.0491490147197333,"BHI_10"
"Glycerol",4,-0.101328820252623,-0.172781809834345,"BHI_10"
"Glycerol",5,-0.204838119219056,0.0817818978430724,"BHI_10"
"Glycerol",6,0.055170020983372,0.0830425755052384,"BHI_10"
"Glycerol",7,0.148338101878328,-0.055081431406174,"BHI_10"
"Glycerol",8,NA,NA,"BHI_10"
"Lactose",1,0.011695883225014,0.164627984291362,"BHI_10"
"Lactose",2,-0.120807627148435,-0.146560869316974,"BHI_10"
"Lactose",3,0.0767442176888022,-0.0137958037470168,"BHI_10"
"Lactose",4,-0.147644371108093,-0.138369483995547,"BHI_10"
"Lactose",5,-0.230738870242714,0.0924486088667325,"BHI_10"
"Lactose",6,0.11819110626433,0.158851039196367,"BHI_10"
"Lactose",7,0.222558729600913,-0.0497979187329394,"BHI_10"
"Lactose",8,-0.0321793254301198,0.0260610648692937,"BHI_10"
"Maltose",1,-0.0054559969683876,0.136814098631963,"BHI_10"
"Maltose",2,-0.130511200565286,-0.146221445379129,"BHI_10"
"Maltose",3,0.0796112518023743,-0.0428861443995531,"BHI_10"
"Maltose",4,-0.204619066108341,-0.0265409991799958,"BHI_10"
"Maltose",5,-0.222874401180573,0.0565222145895934,"BHI_10"
"Maltose",6,0.0645662405588259,0.167976255589114,"BHI_10"
"Maltose",7,0.184798177637524,-0.0672932769786389,"BHI_10"
"Maltose",8,-0.133583113687236,0.0708043853220031,"BHI_10"
"Mannitol",1,-0.0358944251330119,0.202990962332818,"BHI_10"
"Mannitol",2,-0.041828811147633,-0.171400405034291,"BHI_10"
"Mannitol",3,0.119685648630621,-0.0327601302249448,"BHI_10"
"Mannitol",4,-0.107477480060108,-0.155385924630959,"BHI_10"
"Mannitol",5,-0.256019022548569,0.0888873099237298,"BHI_10"
"Mannitol",6,0.138724777162255,0.139129346659655,"BHI_10"
"Mannitol",7,0.136224972936048,-0.0775732403274929,"BHI_10"
"Mannitol",8,0.0215988336859019,0.0201464849574075,"BHI_10"
"Mannose",1,-0.0120599914151294,0.222147784920873,"BHI_10"
"Mannose",2,-0.091120738269543,-0.158349326845515,"BHI_10"
"Mannose",3,0.0999503148172136,-0.0421837652666803,"BHI_10"
"Mannose",4,-0.157511445883771,-0.122181084229408,"BHI_10"
"Mannose",5,-0.257345863769204,0.0315617195452251,"BHI_10"
"Mannose",6,0.154511666152892,0.0875936738201917,"BHI_10"
"Mannose",7,0.142005030027835,-0.0862142802238007,"BHI_10"
"Mannose",8,-0.0410536071201568,0.0662225596155148,"BHI_10"
"Melibiose",1,-0.0104674749340222,0.184303899334383,"BHI_10"
"Melibiose",2,-0.0610256948760014,-0.143663446229023,"BHI_10"
"Melibiose",3,0.125996126159543,-0.0291139754994638,"BHI_10"
"Melibiose",4,-0.128264894328461,-0.110861735705295,"BHI_10"
"Melibiose",5,-0.188183723588198,0.0847373187646416,"BHI_10"
"Melibiose",6,0.120451452906886,0.201702868889456,"BHI_10"
"Melibiose",7,0.146071705629407,-0.0376575435130144,"BHI_10"
"Melibiose",8,-0.0461934154697092,0.000218179130796092,"BHI_10"
"Oxaloacetate",1,0.0506501360625078,0.252531094455445,"BHI_10"
"Oxaloacetate",2,0.0174264606232251,-0.108168962084612,"BHI_10"
"Oxaloacetate",3,0.178391949617364,-0.113333150922,"BHI_10"
"Oxaloacetate",4,-0.044229608546178,-0.19690724012227,"BHI_10"
"Oxaloacetate",5,-0.235672964412985,0.0108475187916616,"BHI_10"
"Oxaloacetate",6,0.198752970928658,0.00534859191972088,"BHI_10"
"Oxaloacetate",7,0.145355531780786,-0.038021038391266,"BHI_10"
"Oxaloacetate",8,0.00703839151368266,-0.00280539394528144,"BHI_10"
"Pyruvate",1,0.0167105398125386,0.122781362563263,"BHI_10"
"Pyruvate",2,-0.0422987642188609,-0.134380273899753,"BHI_10"
"Pyruvate",3,0.179440218759406,-0.0919122211209819,"BHI_10"
"Pyruvate",4,-0.0945998427086821,-0.146742374089601,"BHI_10"
"Pyruvate",5,-0.239301007120291,0.0498234358739884,"BHI_10"
"Pyruvate",6,0.191015411004059,0.0212447947531335,"BHI_10"
"Pyruvate",7,0.197644124112063,-0.039040445339771,"BHI_10"
"Pyruvate",8,0.0264928147377807,0.0500041951098829,"BHI_10"
"Rhamnose",1,-0.0152365323187178,0.226200060073262,"BHI_10"
"Rhamnose",2,-0.0249632316373487,-0.128801084569354,"BHI_10"
"Rhamnose",3,0.117612684143307,-0.0553655419264405,"BHI_10"
"Rhamnose",4,-0.0926537558066799,-0.149881759574514,"BHI_10"
"Rhamnose",5,-0.207758155288951,0.101408801763205,"BHI_10"
"Rhamnose",6,0.19803621963212,0.0935481122032372,"BHI_10"
"Rhamnose",7,0.153199221309636,-0.0485168251417019,"BHI_10"
"Rhamnose",8,0.0639289080006808,-0.0328989187577947,"BHI_10"
"Ribose",1,-0.0435490191542091,0.189906222628728,"BHI_10"
"Ribose",2,-0.0332380258098686,-0.149316502179907,"BHI_10"
