"Family","Donor","CS","OD","OD_median","relab","relab_median","BaseMedia"
"Acidaminococcaceae",7,"Pyruvate",0.2895,0.309,0.004942792,0.0017197285,"BHI_10"
"Acidaminococcaceae",8,"Pyruvate",0.3765,0.309,0.009412764,0.0017197285,"BHI_10"
"Acidaminococcaceae",2,"Rhamnose",0.3735,0.355,NA,0.0068187765,"BHI_10"
"Acidaminococcaceae",3,"Rhamnose",0.355,0.355,0.003567032,0.0068187765,"BHI_10"
"Acidaminococcaceae",4,"Rhamnose",0.3535,0.355,NA,0.0068187765,"BHI_10"
"Acidaminococcaceae",5,"Rhamnose",0.3665,0.355,NA,0.0068187765,"BHI_10"
"Acidaminococcaceae",6,"Rhamnose",0.297,0.355,0.009333543,0.0068187765,"BHI_10"
"Acidaminococcaceae",7,"Rhamnose",0.3405,0.355,0.00430401,0.0068187765,"BHI_10"
"Acidaminococcaceae",8,"Rhamnose",0.379,0.355,0.009533411,0.0068187765,"BHI_10"
"Acidaminococcaceae",2,"Ribose",0.3435,0.3985,NA,0.01416354625,"BHI_10"
"Acidaminococcaceae",3,"Ribose",0.3725,0.3985,0.0063478005,0.01416354625,"BHI_10"
"Acidaminococcaceae",4,"Ribose",0.3415,0.3985,NA,0.01416354625,"BHI_10"
"Acidaminococcaceae",5,"Ribose",0.554,0.3985,NA,0.01416354625,"BHI_10"
"Acidaminococcaceae",6,"Ribose",0.4195,0.3985,0.022786812,0.01416354625,"BHI_10"
"Acidaminococcaceae",7,"Ribose",0.3985,0.3985,0.003809272,0.01416354625,"BHI_10"
"Acidaminococcaceae",8,"Ribose",0.425,0.3985,0.021979292,0.01416354625,"BHI_10"
"Acidaminococcaceae",2,"Sorbitol",0.484,0.4705,NA,0.001763685,"BHI_10"
"Acidaminococcaceae",3,"Sorbitol",0.4135,0.4705,0.001309432,0.001763685,"BHI_10"
"Acidaminococcaceae",4,"Sorbitol",0.48,0.4705,NA,0.001763685,"BHI_10"
"Acidaminococcaceae",5,"Sorbitol",0.4695,0.4705,NA,0.001763685,"BHI_10"
"Acidaminococcaceae",6,"Sorbitol",0.438,0.4705,0.0056776065,0.001763685,"BHI_10"
"Acidaminococcaceae",7,"Sorbitol",0.4705,0.4705,0.002075793,0.001763685,"BHI_10"
"Acidaminococcaceae",8,"Sorbitol",0.495,0.4705,0.001451577,0.001763685,"BHI_10"
