"time","Alignment.ID","Metabolite.name","value","rep","species","polarity","met.id","met.id.pol","value.norm","value.norm.mean"
5,3078,"Arginine",3334368,2,"15-mem","pos","Arginine_3078","Arginine_3078_Hilic-pos",0.00755675834609918,0.0132105531706543
5,3078,"Arginine",11481373,3,"15-mem","pos","Arginine_3078","Arginine_3078_Hilic-pos",0.0249659012116923,0.0132105531706543
6,3078,"Arginine",14481089,1,"15-mem","pos","Arginine_3078","Arginine_3078_Hilic-pos",0.0297479522504278,0.0151607496219138
6,3078,"Arginine",3432164,2,"15-mem","pos","Arginine_3078","Arginine_3078_Hilic-pos",0.00777839577160683,0.0151607496219138
6,3078,"Arginine",3658777,3,"15-mem","pos","Arginine_3078","Arginine_3078_Hilic-pos",0.00795590084370676,0.0151607496219138
7,3078,"Arginine",2981576,1,"15-mem","pos","Arginine_3078","Arginine_3078_Hilic-pos",0.00612493856498096,0.00644479615155285
7,3078,"Arginine",2697398,2,"15-mem","pos","Arginine_3078","Arginine_3078_Hilic-pos",0.00611317792434765,0.00644479615155285
7,3078,"Arginine",3263449,3,"15-mem","pos","Arginine_3078","Arginine_3078_Hilic-pos",0.00709627196532994,0.00644479615155285
8,3078,"Arginine",2193893,1,"15-mem","pos","Arginine_3078","Arginine_3078_Hilic-pos",0.00450683123393191,0.00630055042989427
8,3078,"Arginine",2867196,2,"15-mem","pos","Arginine_3078","Arginine_3078_Hilic-pos",0.00649799521315649,0.00630055042989427
8,3078,"Arginine",3631609,3,"15-mem","pos","Arginine_3078","Arginine_3078_Hilic-pos",0.00789682484259441,0.00630055042989427
9,3078,"Arginine",2974611,1,"15-mem","pos","Arginine_3078","Arginine_3078_Hilic-pos",0.00611063062947802,0.00577877132861723
9,3078,"Arginine",2568572,2,"15-mem","pos","Arginine_3078","Arginine_3078_Hilic-pos",0.00582121646397658,0.00577877132861723
9,3078,"Arginine",2485418,3,"15-mem","pos","Arginine_3078","Arginine_3078_Hilic-pos",0.00540446689239709,0.00577877132861723
10,3078,"Arginine",2434855,1,"15-mem","pos","Arginine_3078","Arginine_3078_Hilic-pos",0.00500183033725678,0.00551347652847403
10,3078,"Arginine",2559563,2,"15-mem","pos","Arginine_3078","Arginine_3078_Hilic-pos",0.00580079915072861,0.00551347652847403
10,3078,"Arginine",2638712,3,"15-mem","pos","Arginine_3078","Arginine_3078_Hilic-pos",0.0057378000974367,0.00551347652847403
12,3078,"Arginine",2256172,1,"15-mem","pos","Arginine_3078","Arginine_3078_Hilic-pos",0.00463476862304708,0.00493687660961832
12,3078,"Arginine",2426640,2,"15-mem","pos","Arginine_3078","Arginine_3078_Hilic-pos",0.00549955256077857,0.00493687660961832
12,3078,"Arginine",2150551,3,"15-mem","pos","Arginine_3078","Arginine_3078_Hilic-pos",0.00467630864502931,0.00493687660961832
14,3078,"Arginine",994978,1,"15-mem","pos","Arginine_3078","Arginine_3078_Hilic-pos",0.00204394559236713,0.00243705291494736
14,3078,"Arginine",1181701,2,"15-mem","pos","Arginine_3078","Arginine_3078_Hilic-pos",0.00267811738066816,0.00243705291494736
14,3078,"Arginine",1190679,3,"15-mem","pos","Arginine_3078","Arginine_3078_Hilic-pos",0.00258909577180679,0.00243705291494736
16,3078,"Arginine",860805,1,"15-mem","pos","Arginine_3078","Arginine_3078_Hilic-pos",0.00176831908407783,0.00265610699163845
16,3078,"Arginine",1756624,2,"15-mem","pos","Arginine_3078","Arginine_3078_Hilic-pos",0.00398107919490534,0.00265610699163845
16,3078,"Arginine",1020443,3,"15-mem","pos","Arginine_3078","Arginine_3078_Hilic-pos",0.00221892269593218,0.00265610699163845
18,3078,"Arginine",689876,1,"15-mem","pos","Arginine_3078","Arginine_3078_Hilic-pos",0.00141718611816529,0.00200927065776598
18,3078,"Arginine",560784,2,"15-mem","pos","Arginine_3078","Arginine_3078_Hilic-pos",0.00127091825868017,0.00200927065776598
18,3078,"Arginine",1535872,3,"15-mem","pos","Arginine_3078","Arginine_3078_Hilic-pos",0.00333970759645247,0.00200927065776598
20,3078,"Arginine",1456082,1,"15-mem","pos","Arginine_3078","Arginine_3078_Hilic-pos",0.00299117406216531,0.00233313509012122
20,3078,"Arginine",1179704,2,"15-mem","pos","Arginine_3078","Arginine_3078_Hilic-pos",0.00267359153156658,0.00233313509012122
20,3078,"Arginine",613777,3,"15-mem","pos","Arginine_3078","Arginine_3078_Hilic-pos",0.00133463967663178,0.00233313509012122
22,3078,"Arginine",1091242,1,"15-mem","pos","Arginine_3078","Arginine_3078_Hilic-pos",0.00224169707883581,0.00207883858663059
22,3078,"Arginine",1286276,2,"15-mem","pos","Arginine_3078","Arginine_3078_Hilic-pos",0.00291511821682162,0.00207883858663059
22,3078,"Arginine",496535,3,"15-mem","pos","Arginine_3078","Arginine_3078_Hilic-pos",0.00107970046423434,0.00207883858663059
24,3078,"Arginine",1302023,1,"15-mem","pos","Arginine_3078","Arginine_3078_Hilic-pos",0.00267469649782269,0.00298993517439135
24,3078,"Arginine",1405530,2,"15-mem","pos","Arginine_3078","Arginine_3078_Hilic-pos",0.00318538642351198,0.00298993517439135
24,3078,"Arginine",1430106,3,"15-mem","pos","Arginine_3078","Arginine_3078_Hilic-pos",0.00310972260183938,0.00298993517439135
28,3078,"Arginine",381076,1,"15-mem","pos","Arginine_3078","Arginine_3078_Hilic-pos",0.000782829982730168,0.00141936149771178
28,3078,"Arginine",1058794,2,"15-mem","pos","Arginine_3078","Arginine_3078_Hilic-pos",0.0023995702922712,0.00141936149771178
28,3078,"Arginine",494688,3,"15-mem","pos","Arginine_3078","Arginine_3078_Hilic-pos",0.00107568421813399,0.00141936149771178
32,3078,"Arginine",323102,1,"15-mem","pos","Arginine_3078","Arginine_3078_Hilic-pos",0.000663736191940932,0.0018761873183372
32,3078,"Arginine",1042608,2,"15-mem","pos","Arginine_3078","Arginine_3078_Hilic-pos",0.00236288757141077,0.0018761873183372
32,3078,"Arginine",1196585,3,"15-mem","pos","Arginine_3078","Arginine_3078_Hilic-pos",0.0026019381916599,0.0018761873183372
36,3078,"Arginine",384202,1,"15-mem","pos","Arginine_3078","Arginine_3078_Hilic-pos",0.00078925160604419,0.00204401186458274
36,3078,"Arginine",1090623,2,"15-mem","pos","Arginine_3078","Arginine_3078_Hilic-pos",0.00247170512004006,0.00204401186458274
36,3078,"Arginine",1320358,3,"15-mem","pos","Arginine_3078","Arginine_3078_Hilic-pos",0.00287107886766397,0.00204401186458274
40,3078,"Arginine",387625,1,"15-mem","pos","Arginine_3078","Arginine_3078_Hilic-pos",0.000796283345200908,0.00136270521118299
40,3078,"Arginine",1056791,2,"15-mem","pos","Arginine_3078","Arginine_3078_Hilic-pos",0.00239503084522539,0.00136270521118299
40,3078,"Arginine",412423,3,"15-mem","pos","Arginine_3078","Arginine_3078_Hilic-pos",0.00089680144312268,0.00136270521118299
44,3078,"Arginine",508852,1,"15-mem","pos","Arginine_3078","Arginine_3078_Hilic-pos",0.00104531537638742,0.00102336707153347
44,3078,"Arginine",568484,2,"15-mem","pos","Arginine_3078","Arginine_3078_Hilic-pos",0.00128836895376391,0.00102336707153347
44,3078,"Arginine",338665,3,"15-mem","pos","Arginine_3078","Arginine_3078_Hilic-pos",0.000736416884449079,0.00102336707153347
48,3078,"Arginine",383306,1,"15-mem","pos","Arginine_3078","Arginine_3078_Hilic-pos",0.000787410987205622,0.00193075645279293
48,3078,"Arginine",832871,2,"15-mem","pos","Arginine_3078","Arginine_3078_Hilic-pos",0.00188755556689423,0.00193075645279293
48,3078,"Arginine",1433592,3,"15-mem","pos","Arginine_3078","Arginine_3078_Hilic-pos",0.00311730280427893,0.00193075645279293
0,6157,"Glycerophosphocholine",562049856,1,"15-mem","pos","Glycerophosphocholine_6157","Glycerophosphocholine_6157_Hilic-pos",1,1
0,6157,"Glycerophosphocholine",515634496,2,"15-mem","pos","Glycerophosphocholine_6157","Glycerophosphocholine_6157_Hilic-pos",1,1
0,6157,"Glycerophosphocholine",508546112,3,"15-mem","pos","Glycerophosphocholine_6157","Glycerophosphocholine_6157_Hilic-pos",1,1
1,6157,"Glycerophosphocholine",577091840,1,"15-mem","pos","Glycerophosphocholine_6157","Glycerophosphocholine_6157_Hilic-pos",1.02676272009086,1.01211120477264
1,6157,"Glycerophosphocholine",473926592,2,"15-mem","pos","Glycerophosphocholine_6157","Glycerophosphocholine_6157_Hilic-pos",0.919113431621314,1.01211120477264
1,6157,"Glycerophosphocholine",554547904,3,"15-mem","pos","Glycerophosphocholine_6157","Glycerophosphocholine_6157_Hilic-pos",1.09045746260576,1.01211120477264
2,6157,"Glycerophosphocholine",470703712,1,"15-mem","pos","Glycerophosphocholine_6157","Glycerophosphocholine_6157_Hilic-pos",0.837476793451084,0.949352172109054
2,6157,"Glycerophosphocholine",501877888,2,"15-mem","pos","Glycerophosphocholine_6157","Glycerophosphocholine_6157_Hilic-pos",0.973321007263794,0.949352172109054
2,6157,"Glycerophosphocholine",527493888,3,"15-mem","pos","Glycerophosphocholine_6157","Glycerophosphocholine_6157_Hilic-pos",1.03725871561228,0.949352172109054
3,6157,"Glycerophosphocholine",559374272,1,"15-mem","pos","Glycerophosphocholine_6157","Glycerophosphocholine_6157_Hilic-pos",0.995239594910172,0.936038634514552
3,6157,"Glycerophosphocholine",435851648,2,"15-mem","pos","Glycerophosphocholine_6157","Glycerophosphocholine_6157_Hilic-pos",0.845272476018997,0.936038634514552
3,6157,"Glycerophosphocholine",492071168,3,"15-mem","pos","Glycerophosphocholine_6157","Glycerophosphocholine_6157_Hilic-pos",0.967603832614487,0.936038634514552
4,6157,"Glycerophosphocholine",365794848,1,"15-mem","pos","Glycerophosphocholine_6157","Glycerophosphocholine_6157_Hilic-pos",0.650822775674152,0.646657257688421
4,6157,"Glycerophosphocholine",329788032,2,"15-mem","pos","Glycerophosphocholine_6157","Glycerophosphocholine_6157_Hilic-pos",0.639577130542529,0.646657257688421
4,6157,"Glycerophosphocholine",330337248,3,"15-mem","pos","Glycerophosphocholine_6157","Glycerophosphocholine_6157_Hilic-pos",0.649571866848582,0.646657257688421
5,6157,"Glycerophosphocholine",9015440,1,"15-mem","pos","Glycerophosphocholine_6157","Glycerophosphocholine_6157_Hilic-pos",0.0160402851948417,0.0245277184974236
5,6157,"Glycerophosphocholine",10292489,2,"15-mem","pos","Glycerophosphocholine_6157","Glycerophosphocholine_6157_Hilic-pos",0.01996082314097,0.0245277184974236
5,6157,"Glycerophosphocholine",19112204,3,"15-mem","pos","Glycerophosphocholine_6157","Glycerophosphocholine_6157_Hilic-pos",0.0375820471564591,0.0245277184974236
6,6157,"Glycerophosphocholine",8674239,1,"15-mem","pos","Glycerophosphocholine_6157","Glycerophosphocholine_6157_Hilic-pos",0.0154332198326669,0.00605696171564767
6,6157,"Glycerophosphocholine",741035,2,"15-mem","pos","Glycerophosphocholine_6157","Glycerophosphocholine_6157_Hilic-pos",0.00143713231816606,0.00605696171564767
6,6157,"Glycerophosphocholine",661381,3,"15-mem","pos","Glycerophosphocholine_6157","Glycerophosphocholine_6157_Hilic-pos",0.00130053299611003,0.00605696171564767
7,6157,"Glycerophosphocholine",528442,1,"15-mem","pos","Glycerophosphocholine_6157","Glycerophosphocholine_6157_Hilic-pos",0.000940204847343285,0.00117164010777946
7,6157,"Glycerophosphocholine",643159,2,"15-mem","pos","Glycerophosphocholine_6157","Glycerophosphocholine_6157_Hilic-pos",0.00124731569307707,0.00117164010777946
7,6157,"Glycerophosphocholine",675044,3,"15-mem","pos","Glycerophosphocholine_6157","Glycerophosphocholine_6157_Hilic-pos",0.00132739978291801,0.00117164010777946
8,6157,"Glycerophosphocholine",512831,1,"15-mem","pos","Glycerophosphocholine_6157","Glycerophosphocholine_6157_Hilic-pos",0.00091242973130051,0.00138138500547316
8,6157,"Glycerophosphocholine",574141,2,"15-mem","pos","Glycerophosphocholine_6157","Glycerophosphocholine_6157_Hilic-pos",0.00111346506748558,0.00138138500547316
8,6157,"Glycerophosphocholine",1077233,3,"15-mem","pos","Glycerophosphocholine_6157","Glycerophosphocholine_6157_Hilic-pos",0.0021182602176334,0.00138138500547316
9,6157,"Glycerophosphocholine",891816,1,"15-mem","pos","Glycerophosphocholine_6157","Glycerophosphocholine_6157_Hilic-pos",0.00158672044640339,0.00130592132739263
9,6157,"Glycerophosphocholine",591105,2,"15-mem","pos","Glycerophosphocholine_6157","Glycerophosphocholine_6157_Hilic-pos",0.0011463643403207,0.00130592132739263
9,6157,"Glycerophosphocholine",602464,3,"15-mem","pos","Glycerophosphocholine_6157","Glycerophosphocholine_6157_Hilic-pos",0.00118467919545381,0.00130592132739263
10,6157,"Glycerophosphocholine",617965,1,"15-mem","pos","Glycerophosphocholine_6157","Glycerophosphocholine_6157_Hilic-pos",0.00109948431140691,0.0010851230918354
10,6157,"Glycerophosphocholine",475749,2,"15-mem","pos","Glycerophosphocholine_6157","Glycerophosphocholine_6157_Hilic-pos",0.000922647733555344,0.0010851230918354
10,6157,"Glycerophosphocholine",627158,3,"15-mem","pos","Glycerophosphocholine_6157","Glycerophosphocholine_6157_Hilic-pos",0.00123323723054393,0.0010851230918354
12,6157,"Glycerophosphocholine",891221,1,"15-mem","pos","Glycerophosphocholine_6157","Glycerophosphocholine_6157_Hilic-pos",0.00158566182145653,0.00139900025696142
12,6157,"Glycerophosphocholine",816236,2,"15-mem","pos","Glycerophosphocholine_6157","Glycerophosphocholine_6157_Hilic-pos",0.00158297399562854,0.00139900025696142
