Time_h,log_OD,GrowthRate_h-1
10.3522222222222,-1.51419488656665,0.0198840582981279
10.4463888888889,-1.51193214971107,0.0197317289521679
10.5405555555556,-1.51080855231411,0.0193550077428063
10.6347222222222,-1.50966959818014,0.0205032862744799
10.7288888888889,-1.50740658328064,0.0190501044586601
10.8230555555556,-1.50515422439056,0.0188036948446737
10.9172222222222,-1.50290140836674,0.0174833236109608
11.0113888888889,-1.5017878207794,0.0174488808173867
11.1052777777778,-1.49730779273755,0.0174072406244
11.1994444444444,-1.49955539613849,0.0161847234582468
11.2936111111111,-1.49730779273755,0.0166849940062066
11.3877777777778,-1.49730779273755,0.0165497628297571
11.4819444444444,-1.49398153792006,0.016534598195266
11.5761111111111,-1.49175365547876,0.0160945838625053
11.6702777777778,-1.49175365547876,0.018230463554929
11.7644444444444,-1.4873181860809,0.0175516148505056
11.8586111111111,-1.4873181860809,0.0180581767556712
11.9527777777778,-1.48620459849355,0.0167495869294157
12.0469444444444,-1.48508100109659,0.0155525577358599
12.1411111111111,-1.48178373694826,0.0152130547899906
12.2352777777778,-1.48181298070476,0.0144342077787455
12.3294444444444,-1.47850584605293,0.0160962885827239
12.4236111111111,-1.47850584605293,0.0161795589153397
12.5177777777778,-1.47850584605293,0.0163539471703178
12.6119444444444,-1.47630765806593,0.0165415143308474
12.7061111111111,-1.47412863303881,0.0178881763673864
12.8002777777778,-1.47086940303771,0.0170243134790377
12.8944444444444,-1.47085041545558,0.0175374565709058
12.9886111111111,-1.46870440047284,0.017622434170133
13.0827777777778,-1.46652537544571,0.0175810743824285
13.1769444444444,-1.4643697090754,0.0163084663658186
13.2711111111111,-1.46543128179576,0.0161738303124782
13.3652777777778,-1.46327080620714,0.015640119178419
13.4594444444444,-1.4611108144169,0.0158123341496087
13.5536111111111,-1.45789353704296,0.0159828534573837
13.6477777777778,-1.45895963673957,0.0157524414009179
13.7419444444444,-1.45574736392294,0.0163517298599908
13.8361111111111,-1.45680893664331,0.0159076078355443
13.9302777777778,-1.45255718488161,0.0159858464557997
