Medium,CS,Donor,Richness
M9-BHI,Maltose,1,50.055
M9-BHI,Maltose,2,40.015
M9-BHI,Maltose,3,52.15
M9-BHI,Maltose,4,33.78
M9-BHI,Maltose,5,42.83
M9-BHI,Maltose,6,44.645
M9-BHI,Maltose,7,34.16
M9-BHI,Maltose,8,32.575
M9-BHI,Mannitol,1,53.255
M9-BHI,Mannitol,2,52.41
M9-BHI,Mannitol,3,54.335
M9-BHI,Mannitol,4,38.915
M9-BHI,Mannitol,5,35.27
M9-BHI,Mannitol,6,40.58
M9-BHI,Mannitol,7,44.33
M9-BHI,Mannitol,8,48.37
M9-BHI,Mannose,1,50.685
M9-BHI,Mannose,2,46.32
M9-BHI,Mannose,3,46.125
M9-BHI,Mannose,4,34.285
M9-BHI,Mannose,5,32.2
M9-BHI,Mannose,6,47.275
M9-BHI,Mannose,7,38.145
M9-BHI,Mannose,8,45.025
M9-BHI,Melibiose,1,48.485
M9-BHI,Melibiose,2,52.56
M9-BHI,Melibiose,3,50.245
M9-BHI,Melibiose,4,34.205
M9-BHI,Melibiose,5,42.415
M9-BHI,Melibiose,6,49.1
M9-BHI,Melibiose,7,41.915
M9-BHI,Melibiose,8,46.435
M9-BHI,Oxaloacetate,1,42.135
M9-BHI,Oxaloacetate,2,62.06
M9-BHI,Oxaloacetate,3,59.265
M9-BHI,Oxaloacetate,4,48.135
M9-BHI,Oxaloacetate,5,42.56
M9-BHI,Oxaloacetate,6,57.915
M9-BHI,Oxaloacetate,7,47.385
M9-BHI,Oxaloacetate,8,47.45
M9-BHI,Pyruvate,1,45.935
M9-BHI,Pyruvate,2,55.955
M9-BHI,Pyruvate,3,63.04
M9-BHI,Pyruvate,4,43.88
M9-BHI,Pyruvate,5,44.58
M9-BHI,Pyruvate,6,56.935
M9-BHI,Pyruvate,7,50.23
M9-BHI,Pyruvate,8,53.545
M9-BHI,Rhamnose,1,36.825
M9-BHI,Rhamnose,2,47.93
M9-BHI,Rhamnose,3,60.045
M9-BHI,Rhamnose,4,44.805
M9-BHI,Rhamnose,5,42.165
M9-BHI,Rhamnose,6,61.16
M9-BHI,Rhamnose,7,53.425
