time,OD,CarbonSource
22.6894444444444,0.388,Rhamnose
22.7836111111111,0.388,Rhamnose
22.8777777777778,0.388,Rhamnose
22.9719444444444,0.388,Rhamnose
23.0661111111111,0.3875,Rhamnose
23.1602777777778,0.388,Rhamnose
23.2544444444444,0.3875,Rhamnose
23.3486111111111,0.388,Rhamnose
23.4427777777778,0.388,Rhamnose
23.5369444444444,0.3875,Rhamnose
23.6311111111111,0.388,Rhamnose
23.7252777777778,0.3875,Rhamnose
23.8194444444444,0.387,Rhamnose
23.9136111111111,0.387,Rhamnose
24.0077777777778,0.387,Rhamnose
24.1019444444444,0.387,Rhamnose
24.1961111111111,0.387,Rhamnose
24.2902777777778,0.3865,Rhamnose
24.3844444444444,0.387,Rhamnose
24.4786111111111,0.3865,Rhamnose
24.5727777777778,0.3865,Rhamnose
24.6669444444444,0.387,Rhamnose
24.7611111111111,0.3865,Rhamnose
24.8552777777778,0.3865,Rhamnose
24.9494444444444,0.3865,Rhamnose
25.0436111111111,0.386,Rhamnose
25.1377777777778,0.386,Rhamnose
25.2319444444444,0.386,Rhamnose
25.3261111111111,0.386,Rhamnose
25.4202777777778,0.386,Rhamnose
25.5144444444444,0.386,Rhamnose
25.6086111111111,0.3855,Rhamnose
25.7027777777778,0.3855,Rhamnose
25.7969444444444,0.386,Rhamnose
25.8911111111111,0.3855,Rhamnose
25.9852777777778,0.3845,Rhamnose
26.0794444444444,0.3855,Rhamnose
26.1738888888889,0.385,Rhamnose
26.2680555555556,0.385,Rhamnose
26.3619444444444,0.3855,Rhamnose
26.4561111111111,0.385,Rhamnose
26.5502777777778,0.384,Rhamnose
26.6444444444444,0.3845,Rhamnose
26.7386111111111,0.3845,Rhamnose
26.8330555555556,0.385,Rhamnose
26.9272222222222,0.384,Rhamnose
27.0213888888889,0.384,Rhamnose
27.1155555555556,0.384,Rhamnose
27.2097222222222,0.384,Rhamnose
27.3038888888889,0.384,Rhamnose
27.3980555555556,0.3835,Rhamnose
27.4922222222222,0.3835,Rhamnose
27.5863888888889,0.383,Rhamnose
27.6805555555556,0.383,Rhamnose
27.7747222222222,0.383,Rhamnose
27.8688888888889,0.383,Rhamnose
27.9630555555556,0.382,Rhamnose
28.0572222222222,0.3795,Rhamnose
28.1513888888889,0.3785,Rhamnose
28.2455555555556,0.377,Rhamnose
28.3397222222222,0.375,Rhamnose
28.4338888888889,0.374,Rhamnose
28.5280555555556,0.3725,Rhamnose
28.6222222222222,0.3715,Rhamnose
28.7163888888889,0.3705,Rhamnose
28.8105555555556,0.37,Rhamnose
28.9047222222222,0.369,Rhamnose
28.9988888888889,0.369,Rhamnose
29.0930555555556,0.368,Rhamnose
29.1872222222222,0.367,Rhamnose
29.2813888888889,0.367,Rhamnose
29.3755555555556,0.367,Rhamnose
29.4697222222222,0.3665,Rhamnose
29.5638888888889,0.3655,Rhamnose
29.6580555555556,0.365,Rhamnose
29.7522222222222,0.3645,Rhamnose
29.8463888888889,0.3645,Rhamnose
29.9405555555556,0.3645,Rhamnose
30.0347222222222,0.3635,Rhamnose
