Donor,Passage,Bifidobacteriaceae,Bacteroidaceae,Porphyromonadaceae,Prevotellaceae,Rikenellaceae,Enterococcaceae,Streptococcaceae,Unassigned Clostridiales,Lachnospiraceae,Peptostreptococcaceae,Ruminococcaceae,Veillonellaceae,Alcaligenaceae,Enterobacteriaceae
2,7,0,0.153003153331,0.0304570037163,0,0.00242549968605,0.0492390422429667,0,0,0.0552770650991667,0,0.0101812562251167,0.254847507238,0.0226406850579333,0.408737462724
2,8,0,0.177477849893,0.0228183810018667,0,0.00301091625174,0.0620189774810667,0,0,0.0621229513522,0,0.0136577040922333,0.231439067066,0.0268649100611667,0.384898283278667
3,0,0.0475512939478,0.658248273018,0.0156150118569,6.70172182699e-05,0.00994432415713,0,0.00308794721105,0.00772760078359,0.0693937519332,0,0.12017733787,0.0281575420146,0.0146664604598,0.00425301577482
3,1,0.00846696225342,0.339762573705,0.0152370597248,0.000717837887782,0.00123936149589667,0.00459607774692667,0.00322622728350667,0.0156045650660667,0.175335665635667,0,0.0325501927442667,0.0320565682007,0.00320782091425,0.350414633393667
3,2,0.000133600534402,0.121695922614,0.00972874168875,0.000199922327743333,0.00249425335999667,0.00894374283850667,0.00125515833536567,0.0147622234158133,0.119386494590867,0,0.0167661900411667,0.0222607820645667,0.00650990434012,0.666065014970333
3,3,0,0.160622200913333,0.0221556160454333,7.17205766333333e-05,0.00141899174931,0.00487453975960667,0.0198642995077167,0.0111717602326333,0.131991381726933,0,0.0117251383771833,0.0874710999728667,0.00136291952698333,0.533487714681667
3,4,0,0.165182131340333,0.0159795830028,0.000209248796819333,0.00133371399812667,0.0142668908559567,0.0507348924867333,0.0100365084415333,0.163874607363367,0,0.0157196644712,0.0941108229386,0.000601590290856667,0.455684108131333
3,5,0,0.230263871322,0.0112116614068433,0,0.00126963526196933,0.00384167462256667,0.0583461386256333,0.00248245777157667,0.0558705116392333,0,0.00908215224576,0.28217063523,0.000522498798253333,0.333007627408667
3,6,0,0.177282049717,0.00898669875939,0.000143041052782,0.000845644558168667,0.00459869593315667,0.0640788493670333,0,0.0334124900895333,0,0.0100261009458533,0.351189814476667,0.00117126807697,0.336983905828667
3,7,0,0.215687959325667,0.0195749844890333,0.000245422863594,0.001239323448778,0.0146801750578367,0.0316546149814667,0.000826758630474333,0.0419108694162667,0,0.0125259521636,0.31696258652,0.00244908708975,0.322555858669667
3,8,0,0.189380926286,0.01907328559,0.000279173646007667,0.00109080462991033,0.00635347274143667,0.0466223556263667,0.00776970521335333,0.0569682047415667,0,0.0126674568002333,0.335731242176667,0.00258078215625667,0.302052886650333
